Date,Open,High,Low,Close,Adj Close,Volume
2020-06-02,16.889999,17.350000,16.760000,16.860001,16.860001,553700
2020-06-03,17.000000,17.730000,16.860001,17.280001,17.280001,994900
2020-06-04,17.120001,17.730000,17.010000,17.639999,17.639999,933600
2020-06-05,18.000000,18.341999,17.510000,17.629999,17.629999,955900
2020-06-08,17.920000,18.889999,17.900000,18.709999,18.709999,958000
2020-06-09,18.500000,18.709999,17.930000,18.370001,18.370001,595800
2020-06-10,18.360001,18.450001,17.510000,17.650000,17.650000,566800
2020-06-11,16.850000,17.440001,16.500000,16.580000,16.580000,715100
2020-06-12,17.320000,17.320000,16.500000,16.900000,16.900000,381100
2020-06-15,16.340000,17.080000,16.209999,16.959999,16.959999,364100
2020-06-16,17.780001,17.780001,17.165001,17.389999,17.389999,594000
2020-06-17,17.480000,18.030001,17.395000,17.840000,17.840000,634500
2020-06-18,17.600000,18.440001,17.570000,18.320000,18.320000,601600
2020-06-19,18.510000,18.610001,18.070000,18.200001,18.200001,609500
2020-06-22,18.010000,18.030001,17.620001,18.000000,18.000000,492800
2020-06-23,18.170000,18.219999,17.860001,18.170000,18.170000,641100
2020-06-24,17.879999,18.040001,17.139999,17.410000,17.410000,377100
2020-06-25,17.600000,18.600000,17.570000,18.600000,18.600000,1381200
2020-06-26,18.480000,18.680000,17.840000,17.879999,17.879999,1099028
